,Alpha_Three_Factor,Sector,beta
EPC,-0.000986288461963,xlp,1.031
SJM,-0.000828056985338,xlp,0.612
COTY,-0.000471745901325,xlp,0.899
TAP,-0.000371062466753,xlp,0.7886
K,-0.000305905145892,xlp,0.58
GIS,-0.000202698066215,xlp,0.6817
THS,-0.000141996439246,xlp,0.8022
CPB,8.40449217978e-05,xlp,0.5798
KHC,9.31625034812e-05,xlp,0.8016
SYY,0.000124052706858,xlp,0.5791
CAG,0.000148986823936,xlp,0.7158
WAB,0.000226367804286,xlp,1.1493
AVT,0.000316852526319,xlp,1.1908
ADM,0.000330139141183,xlp,1.0967
MSM,0.000330357890011,xlp,0.8066
MO,0.000352842756666,xlp,0.5938
JW-A,0.000378878396681,xlp,
USFD,0.000385747485933,xlp,0.496
BG,0.000424839549415,xlp,0.8378
NDSN,0.000438450151426,xlp,1.1897
INGR,0.000443789762575,xlp,0.7932
LULU,0.000465692080371,xlp,0.7856
CL,0.000480372719202,xlp,0.7337
HRL,0.000487359389914,xlp,0.6941
DPS,0.000490687043924,xlp,0.5866
PEP,0.000511921335471,xlp,0.6399
DPZ,0.000539818221375,xlp,0.7833
WCC,0.000563648681176,xlp,1.2369
MDLZ,0.000563884215616,xlp,1.0461
CRI,0.000584127294593,xlp,0.7163
KO,0.00063677599728,xlp,0.5884
HSY,0.000735212503995,xlp,0.6308
GNTX,0.00075378535292,xlp,1.1247
TUP,0.000757306869965,xlp,1.1799
VMI,0.000843317273212,xlp,0.9602
FLO,0.000848448616202,xlp,0.7808
PF,0.000855846992812,xlp,0.6495
HAIN,0.000907580086457,xlp,1.1621
POST,0.000921206719168,xlp,0.998
BF-A,0.00109473070815,xlp,
HUBB,0.00113969007597,xlp,0.9678
PM,0.00114287526848,xlp,0.709
MKC,0.00114408485218,xlp,0.6685
DCI,0.00115287098931,xlp,0.9962
LII,0.00116943722003,xlp,0.7834
TKR,0.00119164825148,xlp,1.3804
TSN,0.00120655489252,xlp,0.6488
BF-B,0.00122374837293,xlp,
KEYS,0.00123176748818,xlp,1.0477
ATR,0.00123626553172,xlp,0.7675
ARW,0.00124149048073,xlp,1.3661
CFX,0.00130327439882,xlp,1.4327
ITT,0.00130368066586,xlp,1.4617
CR,0.00132170735648,xlp,1.1569
AGCO,0.00132858853854,xlp,1.1204
TTC,0.00136326387378,xlp,0.9105
BERY,0.00137790841292,xlp,0.9623
HII,0.00139640505222,xlp,0.9889
AWI,0.00141556450352,xlp,1.0571
BIO,0.00146229063955,xlp,0.7696
SPR,0.00146909593597,xlp,1.0748
EXP,0.00153729857875,xlp,1.3965
BUFF,0.00154104803793,xlp,0.7589
PII,0.00156387512028,xlp,1.0961
STZ,0.00162770983879,xlp,0.7748
TRN,0.00163141212954,xlp,1.5374
USG,0.00170038817392,xlp,1.1254
MNST,0.0017576978409,xlp,0.673
OSK,0.00178030009565,xlp,1.1874
ST,0.00190736604507,xlp,1.3304
IEX,0.00198758350342,xlp,0.98
TDY,0.00202766320314,xlp,1.1539
WBC,0.00205289715456,xlp,1.2978
EL,0.00215169461596,xlp,0.8795
OA,0.00215201754204,xlp,0.7239
HEI,0.00217454325072,xlp,0.8686
LEA,0.00219452481724,xlp,1.2674
BRKR,0.00223505970188,xlp,1.0411
CAA,0.00224312822868,xlp,--
TRMB,0.00225700588163,xlp,1.134
GGG,0.00230080372692,xlp,1.0663
ALSN,0.00234773464155,xlp,0.987
LW,0.0023697214304,xlp,-1.1482
PPC,0.00242130864095,xlp,0.8586
TSLA,0.00243730958489,xlp,1.256
TOL,0.00245271188343,xlp,1.2079
THO,0.00245888902528,xlp,1.1191
TER,0.00253220099493,xlp,1.2984
SKX,0.00256447358811,xlp,0.9566
ADNT,0.0025981667835,xlp,0.5627
OC,0.00266852238908,xlp,0.9574
VC,0.00276994534144,xlp,1.1985
TEX,0.00307113105999,xlp,1.595
CGNX,0.00355112167932,xlp,1.2545
NVR,0.00357590111211,xlp,0.679
OLED,0.00405353172789,xlp,1.4356
COHR,0.00409821359979,xlp,1.2008
