Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,757.919983,758.76001,747.700012,753.669983,753.669983,3521100
2017-01-04,758.390015,759.679993,754.200012,757.179993,757.179993,2510500
2017-01-05,761.549988,782.400024,760.26001,780.450012,780.450012,5830100
2017-01-06,782.359985,799.440002,778.47998,795.98999,795.98999,5986200
2017-01-09,798.0,801.77002,791.77002,796.919983,796.919983,3440100
2017-01-10,796.599976,798.0,789.539978,795.900024,795.900024,2558400
2017-01-11,793.659973,799.5,789.51001,799.02002,799.02002,2992800
2017-01-12,800.309998,814.130005,799.5,813.640015,813.640015,4873900
2017-01-13,814.320007,821.650024,811.400024,817.140015,817.140015,3791900
2017-01-17,815.700012,816.0,803.440002,809.719971,809.719971,3659400
2017-01-18,809.5,811.72998,804.27002,807.47998,807.47998,2354200
2017-01-19,810.0,813.51001,807.320007,809.039978,809.039978,2540800
2017-01-20,815.280029,816.02002,806.26001,808.330017,808.330017,3376200
2017-01-23,806.799988,818.5,805.080017,817.880005,817.880005,2797500
2017-01-24,822.0,823.98999,814.5,822.440002,822.440002,2971700
2017-01-25,825.789978,837.419983,825.289978,836.52002,836.52002,3922600
2017-01-26,835.530029,843.840027,833.0,839.150024,839.150024,3586300
2017-01-27,839.0,839.700012,829.440002,835.77002,835.77002,2998700
2017-01-30,833.0,833.5,816.380005,830.380005,830.380005,3747300
2017-01-31,823.75,826.98999,819.559998,823.47998,823.47998,3137200
2017-02-01,829.210022,833.780029,824.940002,832.349976,832.349976,3850200
2017-02-02,836.590027,842.48999,828.26001,839.950012,839.950012,7350500
2017-02-03,806.719971,818.299988,804.0,810.200012,810.200012,10868800
2017-02-06,809.799988,810.719971,803.0,807.640015,807.640015,3897300
2017-02-07,809.309998,816.159973,807.5,812.5,812.5,3466100
2017-02-08,812.690002,821.47998,812.5,819.710022,819.710022,2858000
2017-02-09,821.599976,825.0,819.710022,821.359985,821.359985,2484900
2017-02-10,823.820007,828.0,822.849976,827.460022,827.460022,2429600
2017-02-13,831.619995,843.0,828.549988,836.530029,836.530029,4172600
2017-02-14,837.0,838.309998,831.450012,836.390015,836.390015,2787900
2017-02-15,834.0,842.809998,832.820007,842.700012,842.700012,2968900
2017-02-16,841.840027,845.0,839.380005,844.140015,844.140015,2714700
2017-02-17,842.0,847.27002,840.72998,845.070007,845.070007,3112300
2017-02-21,848.840027,857.97998,847.25,856.440002,856.440002,3507700
2017-02-22,856.950012,858.429993,852.179993,855.609985,855.609985,2617000
2017-02-23,857.570007,860.859985,848.0,852.190002,852.190002,3462000
2017-02-24,844.690002,845.809998,837.75,845.23999,845.23999,3688000
2017-02-27,842.380005,852.5,839.669983,848.640015,848.640015,2713600
2017-02-28,851.450012,854.090027,842.049988,845.039978,845.039978,2793700
2017-03-01,853.049988,854.830017,849.01001,853.080017,853.080017,2760100
2017-03-02,853.080017,854.820007,847.280029,848.909973,848.909973,2132100
2017-03-03,847.200012,851.98999,846.27002,849.880005,849.880005,1941100
2017-03-06,845.22998,848.48999,841.119995,846.609985,846.609985,2610400
2017-03-07,845.47998,848.460022,843.75,846.02002,846.02002,2247600
2017-03-08,848.0,853.070007,846.789978,850.5,850.5,2286500
2017-03-09,851.0,856.400024,850.309998,853.0,853.0,2048200
2017-03-10,857.0,857.349976,851.719971,852.460022,852.460022,2436400
2017-03-13,851.77002,855.690002,851.710022,854.590027,854.590027,1909700
2017-03-14,853.549988,853.75,847.549988,852.530029,852.530029,2130600
2017-03-15,854.330017,854.450012,847.109985,852.969971,852.969971,2562200
2017-03-16,855.299988,855.5,850.51001,853.419983,853.419983,1842300
2017-03-17,853.48999,853.830017,850.640015,852.309998,852.309998,3384400
2017-03-20,851.51001,857.799988,851.01001,856.969971,856.969971,2282700
2017-03-21,858.840027,862.799988,841.309998,843.200012,843.200012,4382900
2017-03-22,840.429993,849.369995,839.049988,848.059998,848.059998,2658700
2017-03-23,848.200012,850.890015,844.799988,847.380005,847.380005,1953000
2017-03-24,851.679993,851.799988,843.530029,845.609985,845.609985,2138300
2017-03-27,838.070007,850.299988,833.5,846.820007,846.820007,2755800
2017-03-28,851.75,858.460022,850.099976,856.0,856.0,3041600
2017-03-29,859.049988,876.440002,859.02002,874.320007,874.320007,4485800
2017-03-30,874.950012,877.059998,871.659973,876.340027,876.340027,2762700
2017-03-31,877.0,890.349976,876.650024,886.539978,886.539978,3957600
2017-04-03,888.0,893.48999,885.419983,891.51001,891.51001,3422300
2017-04-04,891.5,908.539978,890.280029,906.830017,906.830017,4984700
2017-04-05,910.820007,923.719971,905.619995,909.280029,909.280029,7508400
2017-04-06,913.799988,917.190002,894.48999,898.280029,898.280029,6344100
2017-04-07,899.650024,900.090027,889.309998,894.880005,894.880005,3710900
2017-04-10,899.630005,908.51001,899.0,907.039978,907.039978,3184300
2017-04-11,907.039978,911.23999,897.5,902.359985,902.359985,3012700
2017-04-12,903.090027,904.090027,895.25,896.22998,896.22998,2456100
2017-04-13,891.450012,894.969971,884.48999,884.669983,884.669983,3174600
2017-04-17,887.5,902.380005,887.5,901.98999,901.98999,2854700
2017-04-18,900.98999,909.609985,900.780029,903.780029,903.780029,2999200
2017-04-19,907.840027,910.5,897.369995,899.200012,899.200012,2870200
2017-04-20,899.700012,905.320007,896.289978,902.059998,902.059998,2814400
2017-04-21,902.669983,903.650024,896.77002,898.530029,898.530029,2420500
2017-04-24,908.679993,909.98999,903.820007,907.409973,907.409973,3122900
2017-04-25,907.039978,909.47998,903.0,907.619995,907.619995,3380600
2017-04-26,910.299988,915.75,907.559998,909.289978,909.289978,2608900
2017-04-27,914.390015,921.859985,912.109985,918.380005,918.380005,5305500
2017-04-28,948.830017,949.590027,924.330017,924.98999,924.98999,7335800
2017-05-01,927.799988,954.400024,927.799988,948.22998,948.22998,5466500
2017-05-02,946.650024,950.099976,941.409973,946.940002,946.940002,3848800
2017-05-03,946.0,946.0,935.900024,941.030029,941.030029,3582700
2017-05-04,944.75,945.0,934.219971,937.530029,937.530029,2418400
2017-05-05,940.52002,940.789978,930.299988,934.150024,934.150024,2866400
2017-05-08,940.950012,949.049988,939.210022,949.039978,949.039978,3415700
2017-05-09,952.799988,957.890015,950.200012,952.820007,952.820007,3262100
2017-05-10,953.5,953.75,945.0,948.950012,948.950012,2096500
2017-05-11,945.109985,950.289978,940.780029,947.619995,947.619995,2194100
2017-05-12,954.5,962.789978,951.530029,961.349976,961.349976,3625900
2017-05-15,958.72998,963.150024,956.059998,957.969971,957.969971,4270600
2017-05-16,961.0,970.059998,960.909973,966.070007,966.070007,3126100
2017-05-17,954.700012,960.400024,944.119995,944.76001,944.76001,5145600
2017-05-18,944.799988,962.75,944.76001,958.48999,958.48999,3939300
2017-05-19,962.840027,968.919983,959.719971,959.840027,959.840027,3972100
2017-05-22,964.0,971.380005,962.900024,970.669983,970.669983,2642200
2017-05-23,975.02002,975.200012,966.849976,971.539978,971.539978,2415600
2017-05-24,976.0,981.0,970.22998,980.349976,980.349976,2446000
2017-05-25,984.849976,999.0,982.109985,993.380005,993.380005,4822000
2017-05-26,995.0,998.650024,989.25,995.780029,995.780029,3469200
2017-05-30,996.51001,1001.200012,995.52002,996.700012,996.700012,3263100
2017-05-31,1000.0,1000.119995,982.159973,994.619995,994.619995,3913100
2017-06-01,998.590027,998.98999,991.369995,995.950012,995.950012,2454800
2017-06-02,998.98999,1008.47998,995.669983,1006.72998,1006.72998,3752300
2017-06-05,1007.22998,1013.210022,1003.51001,1011.340027,1011.340027,2719900
2017-06-06,1012.0,1016.5,1001.25,1003.0,1003.0,3346400
2017-06-07,1005.950012,1010.25,1002.0,1010.070007,1010.070007,2823000
2017-06-08,1012.059998,1013.609985,1006.109985,1010.27002,1010.27002,2753300
2017-06-09,1012.5,1012.98999,927.0,978.309998,978.309998,7647700
2017-06-12,967.0,975.950012,945.0,964.909973,964.909973,9447200
2017-06-13,977.98999,984.5,966.099976,980.789978,980.789978,4580000
2017-06-14,988.590027,990.340027,966.710022,976.469971,976.469971,3974900
2017-06-15,958.700012,965.72998,950.859985,964.169983,964.169983,5373900
2017-06-16,996.0,999.75,982.0,987.710022,987.710022,11472700
2017-06-19,1017.0,1017.0,989.900024,995.169983,995.169983,5043400
2017-06-20,998.0,1004.880005,992.02002,992.590027,992.590027,4076800
2017-06-21,998.700012,1002.719971,992.650024,1002.22998,1002.22998,2922500
2017-06-22,1002.22998,1006.960022,997.200012,1001.299988,1001.299988,2253400
2017-06-23,1002.539978,1004.619995,998.02002,1003.73999,1003.73999,2879100
2017-06-26,1008.5,1009.799988,992.0,993.97998,993.97998,3386200
2017-06-27,990.690002,998.799988,976.0,976.780029,976.780029,3782400
2017-06-28,978.549988,990.679993,969.210022,990.330017,990.330017,3737600
2017-06-29,979.0,987.559998,965.25,975.929993,975.929993,4303000
2017-06-30,980.119995,983.469971,967.609985,968.0,968.0,3390300
2017-07-03,972.789978,974.48999,951.0,953.659973,953.659973,2909100
2017-07-05,961.530029,975.0,955.25,971.400024,971.400024,3653000
2017-07-06,964.659973,974.400024,959.02002,965.140015,965.140015,3259600
2017-07-07,969.549988,980.109985,969.140015,978.76001,978.76001,2643400
2017-07-10,985.0,999.440002,983.5,996.469971,996.469971,3546300
2017-07-11,993.0,995.98999,983.719971,994.130005,994.130005,2982700
