"","Open","High","Low","Close","Volume","Adjusted"
"2015-03-06",166.5,166.770004,164.009995,164.360001,2114400,154.107742
"2015-03-09",164.720001,166.779999,164.509995,166.369995,1608100,155.99234
"2015-03-10",164.809998,164.860001,162.25,162.259995,2559200,152.138733
"2015-03-11",162.699997,163.220001,161.660004,161.729996,1894300,151.641785
"2015-03-12",162.589996,164.520004,162.570007,164.470001,1715000,154.210846
"2015-03-13",164.020004,164.389999,161.779999,162.740005,2284700,152.58876
"2015-03-16",163.580002,166.270004,163.580002,166.210007,2111200,155.842331
"2015-03-17",165.520004,165.529999,163.380005,164.229996,2540900,153.985855
"2015-03-18",163.160004,166.949997,162.050003,166.470001,3055200,156.086121
"2015-03-19",166.160004,166.210007,164.850006,165.660004,1953500,155.32666
"2015-03-20",166.089996,167.130005,165.389999,166.490005,4371800,156.104874
"2015-03-23",166.830002,166.910004,165.830002,166.130005,2151500,155.767319
"2015-03-24",165.580002,167.649994,165.529999,166.320007,2091000,155.945465
"2015-03-25",166.240005,166.520004,162.660004,162.699997,2540900,152.55127
"2015-03-26",162,163.369995,161.210007,162.589996,2050700,152.448151
"2015-03-27",162.360001,163.899994,162.020004,163.5,1722600,153.301376
"2015-03-30",164.199997,166.770004,164.199997,166.050003,1684000,155.692307
"2015-03-31",165.410004,166,164.619995,164.949997,2081300,154.660919
"2015-04-01",164.289993,164.539993,161.899994,162.520004,2143700,152.382523
"2015-04-02",163.380005,163.970001,162.119995,162.800003,1852600,152.645065
"2015-04-06",161.660004,165.990005,161.399994,165.479996,2560300,155.157867
"2015-04-07",165.399994,167.570007,165.279999,166.210007,2479500,155.842331
"2015-04-08",166.210007,167.220001,165.210007,166.270004,1754400,155.89859
"2015-04-09",166.25,167.179993,165.080002,166.789993,1680100,156.386139
"2015-04-10",167.5,167.699997,166.220001,167.070007,1501900,156.648697
"2015-04-13",166.759995,167.360001,165.600006,165.839996,1860400,155.495422
"2015-04-14",165.320007,166.479996,164.169998,165.990005,1914300,155.636063
"2015-04-15",166.720001,167.339996,165.860001,166.440002,1995800,156.057968
"2015-04-16",165.729996,166.649994,165.100006,165.889999,1662800,155.542297
"2015-04-17",164.529999,164.539993,161.130005,161.710007,3063500,151.623016
"2015-04-20",163,165.389999,162.729996,164.509995,2391400,154.248352
"2015-04-21",165.649994,165.699997,163.619995,164,1970500,153.770218
"2015-04-22",163.809998,164.889999,162.570007,164.669998,2228800,154.398392
"2015-04-23",159.539993,161.449997,158.610001,159.660004,5704500,149.700912
"2015-04-24",159.809998,159.809998,157.850006,158.990005,3043500,149.072723
"2015-04-27",159.479996,160.070007,157.809998,157.979996,3448800,148.125671
"2015-04-28",157.690002,158.360001,156.179993,158.330002,3387900,148.453873
"2015-04-29",157.419998,157.929993,156.179993,156.970001,3078600,147.17868
"2015-04-30",156.820007,157.919998,156.009995,156.389999,3510200,146.634872
"2015-05-01",156.789993,158.089996,156.789993,157.679993,2160100,147.844406
"2015-05-04",158.399994,159.850006,157.880005,159.020004,2240300,149.10083
"2015-05-05",158.860001,159.449997,157.410004,157.910004,1947700,148.060059
"2015-05-06",157.919998,159.080002,156.550003,157.639999,2203100,147.8069
"2015-05-07",157.229996,159.199997,157.229996,158.610001,2112900,148.716415
"2015-05-08",160.25,161.399994,160.059998,160.600006,2025500,150.582275
"2015-05-11",160.259995,161,159.800003,159.899994,1708700,149.925934
"2015-05-12",158.710007,160.399994,158.009995,160.070007,1864800,150.085358
"2015-05-13",160.429993,161.740005,160.360001,161.309998,2587900,151.247955
"2015-05-14",162.089996,163.300003,161.800003,163.149994,2462500,152.973175
"2015-05-15",163.149994,163.770004,162.649994,163.300003,1923800,153.113846
"2015-05-18",163,163.589996,162.309998,162.869995,1747800,152.710648
"2015-05-19",163.070007,163.589996,162.550003,163.119995,2075100,152.945084
"2015-05-20",162.419998,163.070007,161.839996,161.899994,1978100,152.761078
"2015-05-21",161.899994,162.350006,161.800003,162.059998,2400800,152.912048
"2015-05-22",161.990005,162.330002,160.660004,160.979996,1822700,151.89299
"2015-05-26",160.979996,161.320007,159.039993,159.589996,2471100,150.581467
"2015-05-27",159.820007,161.309998,159.529999,161.020004,2625900,151.930771
"2015-05-28",160.350006,160.889999,159.610001,160.869995,1578100,151.789215
"2015-05-29",160.440002,160.789993,158.740005,159.080002,2875400,150.100266
"2015-06-01",159.100006,159.759995,158.570007,158.979996,1906100,150.005905
"2015-06-02",158.279999,159.880005,157.949997,159.080002,2481100,150.100266
"2015-06-03",159.610001,160.5,158.979996,160.160004,2074500,151.119308
"2015-06-04",159.509995,160.380005,158.089996,158.350006,2237600,149.411484
"2015-06-05",157.5,157.970001,156.970001,157.080002,2314800,148.213165
"2015-06-08",156.5,157.410004,156.300003,156.589996,1589400,147.750824
"2015-06-09",156.850006,158.259995,156.600006,156.979996,1810800,148.118805
"2015-06-10",156.949997,159.570007,156.949997,159.039993,1758900,150.062515
"2015-06-11",159.119995,160.360001,159,159.860001,1854200,150.836243
"2015-06-12",159.850006,159.990005,157.880005,158.039993,1910500,149.118958
"2015-06-15",157.080002,157.320007,155.389999,155.869995,2353100,147.071442
"2015-06-16",155.490005,157.039993,155.369995,156.490005,1729300,147.656464
"2015-06-17",156.600006,157.589996,155.75,156.949997,1839400,148.0905
"2015-06-18",157.589996,160.240005,157.389999,159.619995,2528900,150.609756
"2015-06-19",159.360001,159.880005,158.940002,158.949997,3287200,149.977585
"2015-06-22",159.850006,160.699997,159.449997,159.679993,1447400,150.666397
"2015-06-23",160.410004,160.869995,159.509995,159.839996,2286400,150.817352
"2015-06-24",159.679993,159.960007,157.539993,157.539993,2862900,148.647202
"2015-06-25",157.850006,158.320007,155.919998,155.919998,2564000,147.118652
"2015-06-26",156.160004,157.990005,155.929993,157.089996,2625500,148.22261
"2015-06-29",155.919998,156.440002,153.919998,153.949997,2475000,145.259827
"2015-06-30",155,155.300003,154.070007,154.300003,2561000,145.590088
"2015-07-01",156.130005,156.429993,154.660004,155.649994,1726800,146.863892
"2015-07-02",156.080002,156.080002,154.899994,155.380005,2022400,146.609131
"2015-07-06",153.889999,155.580002,153.830002,155.080002,2172200,146.326065
"2015-07-07",155.139999,155.630005,153.160004,155.429993,2865300,146.656311
"2015-07-08",154.080002,154.5,152.699997,152.710007,2613300,144.089859
"2015-07-09",154.589996,155.5,153.75,153.75,2069200,145.071136
"2015-07-10",154.740005,155.860001,154.5,154.949997,2061300,146.2034
"2015-07-13",156.419998,156.770004,155.649994,156.470001,2107200,147.637573
"2015-07-14",156.490005,157.080002,156.279999,156.779999,1811400,147.930099
"2015-07-15",156.570007,157,155.899994,156,1786100,147.194107
"2015-07-16",157.580002,157.940002,156.690002,157.169998,2023900,148.298065
"2015-07-17",156.5,157.369995,156.429993,156.690002,2429000,147.845184
"2015-07-20",156.770004,157.649994,156.270004,157.119995,2349000,148.250916
"2015-07-21",156.75,157.179993,155.339996,155.759995,2743900,146.967667
"2015-07-22",155.589996,156.309998,154.440002,155.410004,3067700,146.637436
"2015-07-23",151.919998,153.690002,149.020004,149.5,5176400,141.061035
"2015-07-24",148.860001,150.800003,148.699997,149.330002,3433600,140.900635
"2015-07-27",148.639999,149,147.699997,148.710007,3117600,140.315628
"2015-07-28",148.850006,151.720001,148.320007,151.110001,3277700,142.580154
"2015-07-29",151.440002,151.690002,150.710007,151.449997,2176900,142.90097
"2015-07-30",151,151.729996,150.330002,151.570007,2119100,143.014175
"2015-07-31",152.529999,152.809998,151.029999,151.339996,1619600,142.79718
"2015-08-03",150.789993,151.779999,148.940002,150.119995,2355100,141.646042
"2015-08-04",150.929993,151.539993,150.110001,150.399994,1811900,141.910233
"2015-08-05",151.850006,153.240005,150.919998,151.009995,1765600,142.485779
"2015-08-06",150.889999,151.220001,148.899994,149.259995,1764800,140.834579
"2015-08-07",148.479996,150,148.160004,148.889999,1668700,140.485474
"2015-08-10",150,151.399994,149.889999,151.240005,1571800,142.70282
"2015-08-11",150,150,148.259995,148.479996,1804500,140.098602
"2015-08-12",147.240005,148.710007,146.070007,148.520004,2036700,140.136368
"2015-08-13",148,148.559998,147.080002,147.399994,1793100,139.079575
"2015-08-14",147.660004,148.509995,147.320007,148.279999,1401900,139.909912
"2015-08-17",147.429993,149.309998,146.360001,149.240005,1648900,140.81572
"2015-08-18",148.630005,148.919998,147.880005,148.309998,1705500,139.938187
"2015-08-19",146.199997,147.550003,145.279999,145.869995,2525700,138.593781
"2015-08-20",144.509995,144.869995,143.339996,143.350006,3281700,136.199509
"2015-08-21",143.520004,145.320007,141.919998,142.089996,5442000,135.002335
"2015-08-24",137.119995,142.089996,134,138.580002,7359500,131.667404
"2015-08-25",141.860001,142.059998,137.389999,137.639999,5435900,130.774338
"2015-08-26",140,142.789993,138.529999,142.720001,4562200,135.600906
"2015-08-27",143.75,144.949997,141.330002,143.899994,4104600,136.722061
"2015-08-28",143.020004,144.320007,142.800003,144.210007,2664100,137.016602
"2015-08-31",143,143.830002,142.020004,142.139999,2473100,135.04985
"2015-09-01",139.479996,140.490005,137.940002,138.5,3671400,131.591431
"2015-09-02",140.539993,141.240005,139.240005,141.240005,3312700,134.194733
"2015-09-03",141.940002,142.899994,141.309998,141.740005,2606200,134.669815
"2015-09-04",139.940002,140.669998,139.160004,139.839996,3195800,132.864578
"2015-09-08",142.050003,143.550003,141.520004,143.429993,2432900,136.275497
"2015-09-09",144.860001,145.350006,140.570007,140.860001,2629200,133.83371
"2015-09-10",141,141.910004,140.149994,140.779999,2031200,133.757675
"2015-09-11",140.610001,141.330002,139.770004,141.259995,2505200,134.21373
"2015-09-14",141.520004,141.580002,140.029999,140.809998,2277200,133.786179
"2015-09-15",141.559998,143.839996,141.039993,143.600006,2685900,136.437042
"2015-09-16",143.509995,144.460007,143.210007,144.199997,2060300,137.00708
"2015-09-17",143.809998,145.550003,142.520004,142.949997,2855100,135.819458
"2015-09-18",141.169998,141.300003,139.210007,139.619995,6483600,132.655563
"2015-09-21",140.5,141.080002,139.350006,140.039993,2492600,133.054611
"2015-09-22",138.270004,138.509995,137.25,138.020004,2775300,131.135391
"2015-09-23",138.529999,138.899994,136.860001,137.660004,2684500,130.79332
"2015-09-24",136.630005,138.029999,135.389999,137.580002,2690300,130.717316
"2015-09-25",139.619995,140.119995,138.570007,139.559998,3767200,132.598541
"2015-09-28",138.300003,139.699997,138.300003,138.380005,3468900,131.477432
"2015-09-29",138.619995,142.160004,138.429993,141.550003,4946000,134.489258
"2015-09-30",142.520004,143.229996,140.5,141.770004,3453600,134.698303
"2015-10-01",142.210007,142.5,139.580002,140.800003,2486300,133.776688
"2015-10-02",139.080002,143.300003,138.570007,143.199997,3064400,136.056976
"2015-10-05",144.300003,146.600006,143.630005,146.320007,2987200,139.021347
"2015-10-06",145.990005,146.639999,145.399994,145.789993,2256800,138.517776
"2015-10-07",146.740005,148.539993,146.130005,147.539993,1954000,140.180481
"2015-10-08",146.649994,149.559998,146.589996,149.479996,2008800,142.023712
"2015-10-09",149.559998,150.649994,149.300003,149.899994,2294000,142.422775
"2015-10-12",150.259995,150.559998,149.539993,150.059998,1429300,142.574783
"2015-10-13",148.910004,150,148.729996,149.110001,2027600,141.672195
"2015-10-14",149,149.660004,148.179993,148.320007,2260300,140.9216
"2015-10-15",149.639999,149.880005,148.020004,149.190002,2588500,141.748184
"2015-10-16",149.770004,149.779999,147.479996,148.699997,2490300,141.282623
"2015-10-19",147.970001,148.419998,147.229996,148,2004200,140.617538
"2015-10-20",147.449997,149.669998,147.130005,149.110001,2404700,141.672195
"2015-10-21",149.5,151.389999,148.899994,149.820007,3009900,142.346786
"2015-10-22",151.339996,157.039993,150.649994,156,5111900,148.218491
"2015-10-23",156.539993,157.190002,154.5,155.789993,2997400,148.018967
"2015-10-26",156.059998,156.759995,155.639999,156.539993,2136100,148.731552
"2015-10-27",156,157,155.080002,156.729996,1970100,148.912094
"2015-10-28",156.490005,158.330002,156.199997,158.080002,2724700,150.194748
"2015-10-29",157.75,157.910004,156.880005,157.610001,1448200,149.748184
"2015-10-30",157.800003,158.679993,157.210007,157.210007,2672100,149.368164
"2015-11-02",157.509995,160.089996,157.339996,159.919998,2701800,151.942963
"2015-11-03",159.479996,159.800003,158.669998,158.75,2972800,150.831314
"2015-11-04",159,159.479996,158.610001,158.910004,2254000,150.983337
"2015-11-05",159.380005,159.580002,158.270004,158.990005,2023900,151.059341
"2015-11-06",158.020004,159.259995,157.729996,159.259995,1860000,151.315887
"2015-11-09",158.669998,158.669998,156.75,157.470001,2421000,149.615173
"2015-11-10",157.229996,157.639999,156.429993,157.589996,1962900,149.729187
"2015-11-11",157.860001,159.490005,157.539993,159.050003,2518900,151.116348
"2015-11-12",157.779999,158.289993,156.160004,156.300003,2305600,148.50354
"2015-11-13",156,156.919998,155.600006,155.649994,2434500,147.885956
"2015-11-16",155.610001,158.259995,155.610001,158.210007,2395000,150.318253
"2015-11-17",158.360001,158.529999,156.520004,157.029999,2393000,149.197128
"2015-11-18",156.179993,157.5,156.080002,157.389999,2226900,150.521652
"2015-11-19",157.630005,158.509995,156.710007,158.380005,1518200,151.468475
"2015-11-20",158.679993,159.839996,158.339996,158.949997,1891100,152.013611
"2015-11-23",158.899994,159.770004,158.160004,158.649994,1430400,151.726685
"2015-11-24",157.369995,158.339996,156.889999,157.75,2100600,150.865967
"2015-11-25",158.059998,158.470001,157.630005,157.630005,1184100,150.751221
"2015-11-27",157.509995,158.490005,156.940002,157.990005,876100,151.09549
"2015-11-30",158.100006,158.470001,156.570007,156.580002,2934200,149.747025
"2015-12-01",156.410004,157.669998,156.169998,156.899994,2259000,150.05304
"2015-12-02",156.880005,157.25,155.509995,155.699997,2034700,148.905411
"2015-12-03",156.559998,156.899994,153.710007,154.380005,2609500,147.643036
"2015-12-04",154.789993,158.389999,154.570007,158.220001,2175800,151.315445
"2015-12-07",157.529999,158,156.809998,157.75,2142800,150.865967
"2015-12-08",156.440002,157.860001,155.679993,156.789993,2350400,149.947861
"2015-12-09",156.169998,158.240005,154.940002,156.050003,2660800,149.240143
"2015-12-10",155.729996,158.690002,155.589996,157.520004,2548200,150.646011
"2015-12-11",155.550003,156.399994,154.419998,154.830002,2523200,148.073395
"2015-12-14",155.289993,157.770004,154.339996,157.630005,3441100,150.751221
"2015-12-15",151.990005,153.020004,147.080002,148.130005,8645900,141.665787
"2015-12-16",148.149994,150.539993,147.740005,149.949997,4774100,143.406342
"2015-12-17",150.149994,150.860001,148.830002,148.850006,3053900,142.35437
"2015-12-18",148.210007,148.600006,146.759995,146.919998,5736400,140.508575
"2015-12-21",147.580002,148.330002,146.690002,147.479996,2284400,141.044144
"2015-12-22",148.119995,149.490005,147.279999,148.970001,2518900,142.469101
"2015-12-23",149.690002,151.580002,149.520004,151.160004,2215300,144.563538
"2015-12-24",150.820007,151.800003,150.580002,151.190002,848400,144.592239
"2015-12-28",151.130005,151.770004,150.270004,151.220001,1275200,144.620926
"2015-12-29",152.199997,153.259995,152,152.889999,1824700,146.218033
"2015-12-30",152.789993,153.699997,151.729996,151.910004,1553100,145.280838
"2015-12-31",151.729996,152.119995,150.630005,150.639999,1607100,144.066238
"2016-01-04",148.050003,148.320007,145.399994,146.820007,3277200,140.412964
"2016-01-05",146.820007,147.5,145.610001,147.460007,2688100,141.025009
"2016-01-06",145.589996,145.759995,143.419998,144.490005,2997100,138.184631
"2016-01-07",142.520004,143.130005,140.630005,140.970001,3553500,134.818207
"2016-01-08",141.360001,142.5,140.220001,140.490005,2664000,134.359177
"2016-01-11",140.970001,141.429993,139.410004,140.460007,2770300,134.33049
"2016-01-12",141.360001,142.149994,139.130005,140.860001,2363500,134.713028
"2016-01-13",140.889999,142.190002,138.539993,138.720001,2598300,132.666428
"2016-01-14",139.740005,142.440002,138.860001,141.179993,3720400,135.019058
"2016-01-15",138.300003,140.100006,137.210007,138.690002,4683500,132.637726
"2016-01-19",140.100006,140.800003,137.410004,138.389999,3399800,132.35083
"2016-01-20",136.949997,137.75,134.639999,136.960007,4136300,130.983215
"2016-01-21",136.960007,138.669998,136.149994,137.759995,3355200,131.748306
"2016-01-22",140.139999,140.429993,138.080002,139.520004,2979100,133.431503
"2016-01-25",138.960007,139.369995,137.529999,137.570007,2805500,131.566605
"2016-01-26",141.789993,145.020004,140.330002,144.779999,5125800,138.461975
"2016-01-27",144.949997,147.970001,144.050003,145.550003,3596400,139.198349
"2016-01-28",146.160004,147.839996,145.220001,147.320007,3067400,140.891113
"2016-01-29",148.240005,151,148,151,3993200,144.410538
"2016-02-01",149.330002,149.789993,148.100006,148.729996,2701500,142.239609
"2016-02-02",147.589996,148.279999,146.050003,147.869995,3581800,141.41713
"2016-02-03",149.360001,152.850006,148.960007,152.520004,5766800,145.864212
"2016-02-04",152.419998,154.380005,151.779999,153.440002,3401900,146.744034
"2016-02-05",153.199997,153.880005,151.820007,153.470001,3368500,146.772736
"2016-02-08",151.630005,154.429993,151.009995,153.899994,2505400,147.183975
"2016-02-09",152.949997,155.759995,152.449997,154.740005,2951000,147.98732
"2016-02-10",154.429993,155.490005,152.119995,152.449997,2911900,146.850677
"2016-02-11",149.910004,152,149,150.669998,3182200,145.136017
"2016-02-12",150.669998,154.070007,150.669998,153.960007,2292200,148.305206
"2016-02-16",155,155.899994,154.259995,155.529999,2140600,149.81752
"2016-02-17",156,157.130005,155.600006,156.619995,2156100,150.867508
"2016-02-18",156.350006,156.970001,155.970001,156.779999,2010200,151.021622
"2016-02-19",157,157.089996,155.869995,156.449997,2121300,150.703735
"2016-02-22",156.449997,158.479996,156.449997,157.699997,2207600,151.907837
"2016-02-23",157.630005,157.690002,155.169998,156.169998,1922800,150.434006
"2016-02-24",154.839996,157.619995,153.639999,157.220001,1937800,151.44548
"2016-02-25",157.539993,159,157.009995,158.990005,1718100,153.150436
"2016-02-26",159.149994,159.5,158.080002,158.270004,1843700,152.456909
"2016-02-29",158.009995,159.119995,156.820007,156.869995,1993200,151.108307
"2016-03-01",158.75,159.699997,157.610001,159.589996,2204100,153.728409
"2016-03-02",158.880005,159.880005,158.539993,159.410004,1807200,153.555038
"2016-03-03",159.410004,159.690002,158.509995,159.380005,1922300,153.526123
"2016-03-04",159.460007,160.289993,158.919998,160.070007,1766300,154.190781
"2016-03-07",159.979996,160.570007,158.169998,160.570007,2012800,154.672424
"2016-03-08",159.399994,160.610001,159.350006,160.199997,2020100,154.315994
"2016-03-09",160.5,160.779999,159.520004,160.089996,1883000,154.210068
"2016-03-10",160.770004,160.800003,158.279999,159.889999,1872400,154.01738
"2016-03-11",161.139999,162.050003,160.649994,161.880005,1697200,155.934311
"2016-03-14",161.610001,162.770004,161,161.809998,1747300,155.866867
"2016-03-15",160.160004,162.5,159.350006,162.410004,1827900,156.444824
"2016-03-16",161.960007,163.300003,161.520004,162.889999,1927700,156.907211
"2016-03-17",163.160004,164.360001,162.839996,163.75,2790000,157.735611
"2016-03-18",164.149994,165.330002,163.899994,165.330002,5853000,159.257584
"2016-03-21",165.050003,165.309998,164.410004,164.839996,2095100,158.785599
"2016-03-22",164.5,165.5,164.389999,164.910004,2146300,158.853027
"2016-03-23",164.600006,164.990005,163.460007,164.270004,2305000,158.236542
"2016-03-24",163.679993,164.539993,163.050003,164.460007,1868800,158.41954
"2016-03-28",164.929993,166.649994,164.580002,166.279999,2336700,160.172684
"2016-03-29",164.929993,164.990005,163.119995,164.389999,2515500,158.352097
"2016-03-30",165.369995,167.220001,165.160004,166.75,2195300,160.625427
"2016-03-31",166.75,167.5,166.5,166.630005,1777200,160.509842
"2016-04-01",165.630005,167.740005,164.789993,167.529999,2011600,161.37677
"2016-04-04",167.110001,167.490005,165.919998,166.399994,2022800,160.288284
"2016-04-05",165.179993,166.550003,164.649994,165.809998,1617400,159.719955
"2016-04-06",165.339996,167.080002,164.839996,166.809998,2092200,160.683258
"2016-04-07",165.880005,167.229996,165.25,167.160004,2728300,161.020386
"2016-04-08",167.710007,167.990005,166.100006,166.630005,1729300,160.509842
"2016-04-11",167.119995,167.960007,166.570007,166.589996,1521100,160.471313
"2016-04-12",167.009995,168.399994,166.929993,168.029999,1625300,161.858429
"2016-04-13",168.470001,168.899994,167.710007,168.589996,1545900,162.397842
"2016-04-14",169,169,167.880005,168.160004,1210900,161.983627
"2016-04-15",168.320007,169,168.199997,168.779999,1417000,162.580872
"2016-04-18",168.470001,169.869995,168.389999,169.550003,1146600,163.322617
"2016-04-19",169.919998,170.770004,169.070007,169.649994,1849100,163.4189
"2016-04-20",170.139999,170.449997,168.619995,168.940002,1439700,162.735001
"2016-04-21",168.970001,169.699997,168.410004,168.660004,1635000,162.465286
"2016-04-22",169.089996,169.759995,167.850006,168.660004,1802300,162.465286
"2016-04-25",168,168.509995,166.639999,168.380005,2378300,162.195572
"2016-04-26",167.5,167.789993,164.970001,166.179993,3192100,160.076385
"2016-04-27",166.990005,168.380005,166.100006,167.759995,2227700,161.598328
"2016-04-28",166.850006,168.770004,166.199997,167,1654700,160.866272
"2016-04-29",166.979996,167.779999,166.5,167.380005,1961200,161.232285
"2016-05-02",167.300003,168.5,166.940002,168.339996,1700300,162.157013
"2016-05-03",167.389999,168.070007,166.660004,167.970001,1922200,161.800629
"2016-05-04",166.369995,167.699997,166.289993,167.160004,2118100,161.020386
"2016-05-05",167.460007,168.330002,167.190002,167.770004,1680200,161.607971
"2016-05-06",167.839996,169.050003,167,168.889999,1630200,162.686829
"2016-05-09",168.589996,169.050003,167.690002,168.520004,1301300,162.330414
"2016-05-10",169.229996,170.389999,169,170.259995,1732600,164.0065
"2016-05-11",170.199997,171.270004,169.570007,169.770004,1786400,163.5345
"2016-05-12",169.860001,170.630005,168.759995,170.149994,1741900,163.900543
"2016-05-13",170.050003,170.380005,167.820007,168.320007,1875900,162.137772
"2016-05-16",168.5,169.899994,168.429993,169.550003,1826200,163.322617
"2016-05-17",169.570007,169.940002,167.089996,167.809998,2126000,161.6465
"2016-05-18",166.5,167.929993,165.759995,166.820007,1624400,161.762878
"2016-05-19",165.369995,166.059998,163.169998,165.110001,1657300,160.104691
"2016-05-20",165.25,166.470001,164.929993,165.009995,1746500,160.007721
"2016-05-23",165.279999,166.559998,164.520004,166.110001,1649800,161.074402
"2016-05-24",167.160004,168.789993,166.699997,168.630005,1627400,163.51799
"2016-05-25",169,170.360001,168.75,169.990005,1860000,164.836777
"2016-05-26",170.009995,170.770004,168.529999,168.910004,1545600,163.78952
"2016-05-27",168.910004,169.029999,168.279999,168.889999,1099100,163.770111
"2016-05-31",169.320007,169.75,167.660004,168.320007,2169600,163.217392
"2016-06-01",167.779999,168.929993,167.089996,168.690002,1228200,163.576172
"2016-06-02",168.710007,168.710007,167.270004,168.039993,1980500,162.945877
"2016-06-03",168.050003,168.660004,167.509995,168.380005,1433500,163.275574
"2016-06-06",168.850006,170.589996,168.589996,170.080002,1510700,164.924026
"2016-06-07",170.25,171.490005,170.220001,170.910004,1723100,165.728882
"2016-06-08",170.949997,171.929993,170.649994,171.419998,1684900,166.223404
"2016-06-09",170.5,171.470001,169.399994,170.130005,2208800,164.972519
"2016-06-10",169.270004,169.300003,167.880005,168.559998,2123400,163.450119
"2016-06-13",168.449997,168.639999,167.110001,167.130005,2129900,162.063461
"2016-06-14",167.289993,167.809998,166.600006,167.610001,2021400,162.528915
"2016-06-15",167.949997,168.860001,167.470001,167.800003,1694200,162.71315
"2016-06-16",167.350006,170.389999,166.619995,169.929993,2632100,164.77858
"2016-06-17",169.990005,170,168.419998,168.940002,3448000,163.818588
"2016-06-20",170.899994,172.800003,170.529999,171.229996,2162800,166.039169
"2016-06-21",171.179993,171.970001,171.059998,171.369995,1889100,166.174927
"2016-06-22",171.830002,172.600006,170.990005,171.229996,1369600,166.039169
"2016-06-23",172.710007,174.149994,172.460007,174.110001,2021600,168.831863
"2016-06-24",168.869995,171.539993,168.399994,169.119995,4567500,163.993134
"2016-06-27",167.779999,167.830002,165.160004,167.190002,2544100,162.121628
"2016-06-28",168.139999,169.669998,167.960007,169.589996,2237300,164.448883
"2016-06-29",171.020004,171.850006,170.360001,171.520004,1894100,166.320374
"2016-06-30",172.059998,175.139999,172.059998,175.119995,2449400,169.811234
"2016-07-01",175.139999,176.080002,174.910004,175.539993,1930900,170.218506
"2016-07-05",174.860001,175.779999,173.509995,175.630005,2353600,170.305786
"2016-07-06",175.199997,175.470001,174.059998,175.160004,2383300,169.850037
"2016-07-07",175.089996,175.639999,174.130005,174.869995,1842300,169.568832
"2016-07-08",175.869995,177.789993,175.820007,177.119995,2726600,171.75061
"2016-07-11",177.410004,178.470001,177.190002,178.009995,1659500,172.613647
